delineation,cbsa_code,bulletin,cbsa_title,cbsa_type,csa_code,csa_title,n_counties,n_metdivs,states,valid_from,valid_to
2015,18900,15-01,"Crossville, TN",micropolitan,,,1,0,47,2015-07-15,2017-08-15
2015,18980,15-01,"Cullman, AL",micropolitan,142,"Birmingham-Hoover-Talladega, AL",1,0,01,2015-07-15,2017-08-15
2015,19000,15-01,"Cullowhee, NC",micropolitan,,,1,0,37,2015-07-15,2017-08-15
2015,19060,15-01,"Cumberland, MD-WV",metropolitan,,,2,0,"24,54",2015-07-15,2017-08-15
2015,19100,15-01,"Dallas-Fort Worth-Arlington, TX",metropolitan,206,"Dallas-Fort Worth, TX-OK",13,2,48,2015-07-15,2017-08-15
2015,19140,15-01,"Dalton, GA",metropolitan,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL",2,0,13,2015-07-15,2017-08-15
2015,19180,15-01,"Danville, IL",metropolitan,,,1,0,17,2015-07-15,2017-08-15
2015,19220,15-01,"Danville, KY",micropolitan,,,2,0,21,2015-07-15,2017-08-15
2015,19260,15-01,"Danville, VA",micropolitan,,,2,0,51,2015-07-15,2017-08-15
2015,19300,15-01,"Daphne-Fairhope-Foley, AL",metropolitan,380,"Mobile-Daphne-Fairhope, AL",1,0,01,2015-07-15,2017-08-15
2015,19340,15-01,"Davenport-Moline-Rock Island, IA-IL",metropolitan,209,"Davenport-Moline, IA-IL",4,0,"17,19",2015-07-15,2017-08-15
2015,19380,15-01,"Dayton, OH",metropolitan,212,"Dayton-Springfield-Sidney, OH",3,0,39,2015-07-15,2017-08-15
2015,19420,15-01,"Dayton, TN",micropolitan,174,"Chattanooga-Cleveland-Dalton, TN-GA-AL",1,0,47,2015-07-15,2017-08-15
2015,19460,15-01,"Decatur, AL",metropolitan,290,"Huntsville-Decatur-Albertville, AL",2,0,01,2015-07-15,2017-08-15
2015,19500,15-01,"Decatur, IL",metropolitan,,,1,0,17,2015-07-15,2017-08-15
2015,19540,15-01,"Decatur, IN",micropolitan,258,"Fort Wayne-Huntington-Auburn, IN",1,0,18,2015-07-15,2017-08-15
2015,19580,15-01,"Defiance, OH",micropolitan,,,1,0,39,2015-07-15,2017-08-15
2015,19620,15-01,"Del Rio, TX",micropolitan,,,1,0,48,2015-07-15,2017-08-15
2015,19660,15-01,"Deltona-Daytona Beach-Ormond Beach, FL",metropolitan,422,"Orlando-Deltona-Daytona Beach, FL",2,0,12,2015-07-15,2017-08-15
2015,19700,15-01,"Deming, NM",micropolitan,,,1,0,35,2015-07-15,2017-08-15
2015,19740,15-01,"Denver-Aurora-Lakewood, CO",metropolitan,216,"Denver-Aurora, CO",10,0,08,2015-07-15,2017-08-15
2015,19760,15-01,"DeRidder, LA",micropolitan,217,"DeRidder-Fort Polk South, LA",1,0,22,2015-07-15,2017-08-15
2015,19780,15-01,"Des Moines-West Des Moines, IA",metropolitan,218,"Des Moines-Ames-West Des Moines, IA",5,0,19,2015-07-15,2017-08-15
2015,19820,15-01,"Detroit-Warren-Dearborn, MI",metropolitan,220,"Detroit-Warren-Ann Arbor, MI",6,2,26,2015-07-15,2017-08-15
2015,19860,15-01,"Dickinson, ND",micropolitan,,,1,0,38,2015-07-15,2017-08-15
2015,19940,15-01,"Dixon, IL",micropolitan,221,"Dixon-Sterling, IL",1,0,17,2015-07-15,2017-08-15
2015,19980,15-01,"Dodge City, KS",micropolitan,,,1,0,20,2015-07-15,2017-08-15
2015,20020,15-01,"Dothan, AL",metropolitan,222,"Dothan-Enterprise-Ozark, AL",3,0,01,2015-07-15,2017-08-15
2015,20060,15-01,"Douglas, GA",micropolitan,,,1,0,13,2015-07-15,2017-08-15
2015,20100,15-01,"Dover, DE",metropolitan,428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",1,0,10,2015-07-15,2017-08-15
2015,20140,15-01,"Dublin, GA",micropolitan,,,2,0,13,2015-07-15,2017-08-15
2015,20180,15-01,"DuBois, PA",micropolitan,524,"State College-DuBois, PA",1,0,42,2015-07-15,2017-08-15
2015,20220,15-01,"Dubuque, IA",metropolitan,,,1,0,19,2015-07-15,2017-08-15
2015,20260,15-01,"Duluth, MN-WI",metropolitan,,,3,0,"27,55",2015-07-15,2017-08-15
2015,20300,15-01,"Dumas, TX",micropolitan,,,1,0,48,2015-07-15,2017-08-15
2015,20340,15-01,"Duncan, OK",micropolitan,,,1,0,40,2015-07-15,2017-08-15
2015,20380,15-01,"Dunn, NC",micropolitan,450,"Raleigh-Durham-Chapel Hill, NC",1,0,37,2015-07-15,2017-08-15
2015,20420,15-01,"Durango, CO",micropolitan,,,1,0,08,2015-07-15,2017-08-15
2015,20460,15-01,"Durant, OK",micropolitan,206,"Dallas-Fort Worth, TX-OK",1,0,40,2015-07-15,2017-08-15
2015,20500,15-01,"Durham-Chapel Hill, NC",metropolitan,450,"Raleigh-Durham-Chapel Hill, NC",4,0,37,2015-07-15,2017-08-15
2015,20540,15-01,"Dyersburg, TN",micropolitan,,,1,0,47,2015-07-15,2017-08-15
2015,20580,15-01,"Eagle Pass, TX",micropolitan,,,1,0,48,2015-07-15,2017-08-15
2015,20660,15-01,"Easton, MD",micropolitan,548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",1,0,24,2015-07-15,2017-08-15
2015,20700,15-01,"East Stroudsburg, PA",metropolitan,408,"New York-Newark, NY-NJ-CT-PA",1,0,42,2015-07-15,2017-08-15
2015,20740,15-01,"Eau Claire, WI",metropolitan,232,"Eau Claire-Menomonie, WI",2,0,55,2015-07-15,2017-08-15
2015,20780,15-01,"Edwards, CO",micropolitan,233,"Edwards-Glenwood Springs, CO",1,0,08,2015-07-15,2017-08-15
2015,20820,15-01,"Effingham, IL",micropolitan,,,1,0,17,2015-07-15,2017-08-15
2015,20900,15-01,"El Campo, TX",micropolitan,288,"Houston-The Woodlands, TX",1,0,48,2015-07-15,2017-08-15
2015,20940,15-01,"El Centro, CA",metropolitan,,,1,0,06,2015-07-15,2017-08-15
2015,20980,15-01,"El Dorado, AR",micropolitan,,,1,0,05,2015-07-15,2017-08-15
2015,21020,15-01,"Elizabeth City, NC",micropolitan,545,"Virginia Beach-Norfolk, VA-NC",3,0,37,2015-07-15,2017-08-15
2015,21060,15-01,"Elizabethtown-Fort Knox, KY",metropolitan,350,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",3,0,21,2015-07-15,2017-08-15
2015,21120,15-01,"Elk City, OK",micropolitan,,,1,0,40,2015-07-15,2017-08-15
2015,21140,15-01,"Elkhart-Goshen, IN",metropolitan,515,"South Bend-Elkhart-Mishawaka, IN-MI",1,0,18,2015-07-15,2017-08-15
2015,21180,15-01,"Elkins, WV",micropolitan,,,1,0,54,2015-07-15,2017-08-15
2015,21220,15-01,"Elko, NV",micropolitan,,,2,0,32,2015-07-15,2017-08-15
2015,21260,15-01,"Ellensburg, WA",micropolitan,,,1,0,53,2015-07-15,2017-08-15
2015,21300,15-01,"Elmira, NY",metropolitan,236,"Elmira-Corning, NY",1,0,36,2015-07-15,2017-08-15
2015,21340,15-01,"El Paso, TX",metropolitan,238,"El Paso-Las Cruces, TX-NM",2,0,48,2015-07-15,2017-08-15
