code,level,title,parent_code
55-2013,detailed,First-Line Supervisors of All Other Tactical Operations Specialists,55-2010
55-3000,minor,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,55-0000
55-3010,broad,Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members,55-3000
55-3011,detailed,Air Crew Members,55-3010
55-3012,detailed,Aircraft Launch and Recovery Specialists,55-3010
55-3013,detailed,Armored Assault Vehicle Crew Members,55-3010
55-3014,detailed,Artillery and Missile Crew Members,55-3010
55-3015,detailed,Command and Control Center Specialists,55-3010
55-3016,detailed,Infantry,55-3010
55-3018,detailed,Special Forces,55-3010
55-3019,detailed,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",55-3010
